,open,high,low,close,volume,datetime,date
3872,166.02,167.8,165.98,166.7,2632292,1294034400000,2011-01-03 06:00:00
3873,167.22,167.44,163.89,165.05,6145689,1294120800000,2011-01-04 06:00:00
3874,164.95,166.3,164.54,166.1,3080817,1294207200000,2011-01-05 06:00:00
3875,166.38,166.77,165.45,165.67,4354996,1294293600000,2011-01-06 06:00:00
3876,166.27,166.79,163.59,165.26,5306506,1294380000000,2011-01-07 06:00:00
3877,164.47,166.68,163.42,166.14,4128054,1294639200000,2011-01-10 06:00:00
3878,166.86,167.42,166.18,166.83,2940239,1294725600000,2011-01-11 06:00:00
3879,168.12,168.27,167.3,167.93,3684883,1294812000000,2011-01-12 06:00:00
3880,168.04,168.27,167.31,167.79,2456489,1294898400000,2011-01-13 06:00:00
3881,167.59,169.08,167.32,169.01,5119917,1294984800000,2011-01-14 06:00:00
3882,168.71,170.4,168.44,170.31,2475889,1295330400000,2011-01-18 06:00:00
3883,170.33,170.51,167.41,167.8,4471270,1295416800000,2011-01-19 06:00:00
3884,167.23,167.89,165.67,166.54,3338520,1295503200000,2011-01-20 06:00:00
3885,167.61,167.68,165.84,165.98,2907114,1295589600000,2011-01-21 06:00:00
3886,166.04,167.81,166.02,167.35,2307528,1295848800000,2011-01-24 06:00:00
3887,166.53,167.65,166.08,167.62,4659971,1295935200000,2011-01-25 06:00:00
3888,168.07,169.74,167.56,169.05,3386043,1296021600000,2011-01-26 06:00:00
3889,168.92,170.17,168.8,169.71,2450936,1296108000000,2011-01-27 06:00:00
3890,169.96,170.24,166.34,166.55,5010204,1296194400000,2011-01-28 06:00:00
3891,167.29,168.98,166.85,167.85,4380520,1296453600000,2011-01-31 06:00:00
3892,169.19,170.88,169.05,170.43,3876838,1296540000000,2011-02-01 06:00:00
3893,170.13,171.19,170.04,170.12,3233477,1296626400000,2011-02-02 06:00:00
3894,170.07,170.9898,168.79,170.67,3573125,1296712800000,2011-02-03 06:00:00
3895,170.74,171.81,170.35,171.61,2139835,1296799200000,2011-02-04 06:00:00
3896,172.24,173.81,172.2,173.02,2722233,1297058400000,2011-02-07 06:00:00
3897,173.3,173.98,172.7,173.87,1873293,1297144800000,2011-02-08 06:00:00
3898,173.59,174.24,173.0,173.57,3219735,1297231200000,2011-02-09 06:00:00
3899,172.78,174.56,172.64,174.42,3298498,1297317600000,2011-02-10 06:00:00
3900,173.87,176.26,173.84,176.24,2779595,1297404000000,2011-02-11 06:00:00
3901,176.38,177.08,176.09,176.88,2332934,1297663200000,2011-02-14 06:00:00
3902,176.43,176.75,175.93,176.26,2201428,1297749600000,2011-02-15 06:00:00
3903,176.89,177.92,176.88,177.53,2744672,1297836000000,2011-02-16 06:00:00
3904,177.19,178.61,176.98,178.28,1900716,1297922400000,2011-02-17 06:00:00
3905,178.68,178.82,177.79,178.43,1689855,1298008800000,2011-02-18 06:00:00
3906,176.81,177.53,174.05,174.21,4078525,1298354400000,2011-02-22 06:00:00
3907,174.26,174.83,170.25,171.77,5314896,1298440800000,2011-02-23 06:00:00
3908,171.94,173.0786,170.05,171.76,10643462,1298527200000,2011-02-24 06:00:00
3909,172.58,175.37,172.52,175.32,4414807,1298613600000,2011-02-25 06:00:00
3910,176.33,176.79,174.84,175.55,1954076,1298872800000,2011-02-28 06:00:00
3911,176.22,176.4,172.18,172.65,6822635,1298959200000,2011-03-01 06:00:00
3912,172.56,174.6,172.48,173.46,3511891,1299045600000,2011-03-02 06:00:00
3913,175.15,177.6,175.15,177.14,3857618,1299132000000,2011-03-03 06:00:00
3914,177.4,177.47,174.92,176.06,3176859,1299218400000,2011-03-04 06:00:00
3915,176.86,176.98,172.47,173.59,2518383,1299477600000,2011-03-07 06:00:00
3916,174.07,176.57,173.03,175.76,4609193,1299564000000,2011-03-08 06:00:00
3917,175.47,176.11,174.3,175.24,1944445,1299650400000,2011-03-09 06:00:00
3918,173.29,173.56,171.49,172.12,3274264,1299736800000,2011-03-10 06:00:00
3919,170.98,173.86,170.91,173.25,2575031,1299823200000,2011-03-11 06:00:00
3920,172.07,173.493,171.18,172.48,2866021,1300078800000,2011-03-14 05:00:00
3921,168.7,172.45,167.36,171.34,6811530,1300165200000,2011-03-15 05:00:00
3922,170.77,172.42,168.68,169.55,6563899,1300251600000,2011-03-16 05:00:00
3923,172.13,172.18,170.22,170.53,4838906,1300338000000,2011-03-17 05:00:00
3924,172.01,172.07,170.56,170.99,2582399,1300424400000,2011-03-18 05:00:00
3925,173.13,174.74,173.12,174.42,2954615,1300683600000,2011-03-21 05:00:00
3926,174.4,174.84,173.03,173.28,2118007,1300770000000,2011-03-22 05:00:00
3927,172.91,173.59,171.27,172.96,2059927,1300856400000,2011-03-23 05:00:00
3928,174.04,175.08,172.33,174.73,3128895,1300942800000,2011-03-24 05:00:00
3929,175.24,177.45,174.75,176.02,2702300,1301029200000,2011-03-25 05:00:00
3930,176.41,177.01,175.22,175.37,1885931,1301288400000,2011-03-28 05:00:00
3931,175.22,177.05,174.38,176.81,2633024,1301374800000,2011-03-29 05:00:00
3932,177.74,178.97,177.52,178.54,1936727,1301461200000,2011-03-30 05:00:00
3933,178.51,179.66,178.39,179.55,2908340,1301547600000,2011-03-31 05:00:00
3934,180.57,181.17,180.03,180.81,3018611,1301634000000,2011-04-01 05:00:00
3935,181.21,181.55,180.3501,180.9,4287061,1301893200000,2011-04-04 05:00:00
3936,180.67,182.46,180.57,181.48,4424001,1301979600000,2011-04-05 05:00:00
3937,182.45,182.96,180.87,181.67,5520654,1302066000000,2011-04-06 05:00:00
3938,181.74,182.23,180.08,180.61,2212084,1302152400000,2011-04-07 05:00:00
3939,181.56,181.82,178.32,179.23,2457373,1302238800000,2011-04-08 05:00:00
3940,179.53,179.88,177.45,177.98,1712389,1302498000000,2011-04-11 05:00:00
3941,177.13,177.77,175.89,176.28,2177937,1302584400000,2011-04-12 05:00:00
3942,177.33,177.71,175.8,176.77,1387900,1302670800000,2011-04-13 05:00:00
3943,175.54,177.12,175.14,176.9,1921772,1302757200000,2011-04-14 05:00:00
3944,177.05,178.64,176.6,178.47,1653229,1302843600000,2011-04-15 05:00:00
3945,176.18,176.53,173.92,175.41,12033372,1303102800000,2011-04-18 05:00:00
3946,176.17,176.54,175.15,176.34,1650776,1303189200000,2011-04-19 05:00:00
3947,178.89,179.58,178.57,179.53,2572421,1303275600000,2011-04-20 05:00:00
3948,180.42,180.67,179.48,180.53,1176319,1303362000000,2011-04-21 05:00:00
3949,180.54,180.86,179.59,180.54,1661549,1303707600000,2011-04-25 05:00:00
3950,181.1,182.86,181.041,182.25,3280478,1303794000000,2011-04-26 05:00:00
3951,182.61,183.57,181.76,183.57,3264098,1303880400000,2011-04-27 05:00:00
3952,183.33,184.34,183.08,183.66,2253149,1303966800000,2011-04-28 05:00:00
3953,183.97,184.61,183.23,184.27,1572603,1304053200000,2011-04-29 05:00:00
3954,184.84,184.97,182.97,182.97,3358819,1304312400000,2011-05-02 05:00:00
3955,182.85,183.23,180.32,181.39,2391406,1304398800000,2011-05-03 05:00:00
3956,181.61,181.84,178.96,179.8,2618940,1304485200000,2011-05-04 05:00:00
3957,178.6,180.86,178.13,179.09,2273146,1304571600000,2011-05-05 05:00:00
3958,180.89,181.74,178.76,179.52,2770959,1304658000000,2011-05-06 05:00:00
3959,179.39,181.65,179.31,181.38,1847802,1304917200000,2011-05-09 05:00:00
3960,181.94,183.58,181.73,183.27,2247561,1305003600000,2011-05-10 05:00:00
3961,182.96,183.21,180.37,181.26,2626837,1305090000000,2011-05-11 05:00:00
3962,180.41,182.93,179.56,182.35,2837695,1305176400000,2011-05-12 05:00:00
3963,182.43,182.74,180.1,180.59,2500418,1305262800000,2011-05-13 05:00:00
3964,179.67,181.3036,178.72,178.95,3122116,1305522000000,2011-05-16 05:00:00
3965,177.74,178.52,176.47,177.7,3944143,1305608400000,2011-05-17 05:00:00
3966,177.77,180.56,177.54,180.42,1896618,1305694800000,2011-05-18 05:00:00
3967,181.4,181.58,179.37,180.66,1814983,1305781200000,2011-05-19 05:00:00
3968,180.26,180.37,178.34,179.28,2182981,1305867600000,2011-05-20 05:00:00
3969,176.74,177.36,176.08,176.42,2851999,1306126800000,2011-05-23 05:00:00
3970,176.98,177.46,175.42,175.97,2093047,1306213200000,2011-05-24 05:00:00
3971,175.49,177.72,175.29,177.25,1654339,1306299600000,2011-05-25 05:00:00
3972,176.68,179.09,176.58,178.86,1646551,1306386000000,2011-05-26 05:00:00
3973,179.6,180.45,179.35,179.89,1425153,1306472400000,2011-05-27 05:00:00
3974,181.81,182.58,180.15,182.58,2726472,1306818000000,2011-05-31 05:00:00
3975,181.75,181.94,177.11,177.33,3615570,1306904400000,2011-06-01 05:00:00
3976,177.57,178.33,176.27,177.23,2726990,1306990800000,2011-06-02 05:00:00
3977,174.68,176.64,174.42,174.72,2751712,1307077200000,2011-06-03 05:00:00
3978,174.47,174.76,172.15,172.29,2195842,1307336400000,2011-06-06 05:00:00
3979,173.1,174.11,172.58,172.83,3581164,1307422800000,2011-06-07 05:00:00
3980,172.37,172.68,171.1301,171.31,2209879,1307509200000,2011-06-08 05:00:00
3981,171.58,172.71,170.83,172.01,2352947,1307595600000,2011-06-09 05:00:00
3982,171.1,171.41,169.05,169.34,2943977,1307682000000,2011-06-10 05:00:00
3983,169.6,170.57,168.28,169.01,3106094,1307941200000,2011-06-13 05:00:00
3984,170.56,172.63,170.49,172.1,1950260,1308027600000,2011-06-14 05:00:00
3985,170.59,171.66,168.88,169.52,4245388,1308114000000,2011-06-15 05:00:00
3986,169.41,170.47,167.76,169.28,3018796,1308200400000,2011-06-16 05:00:00
3987,170.49,170.5,168.8,169.15,2077403,1308286800000,2011-06-17 05:00:00
3988,168.66,171.08,168.66,170.52,1459217,1308546000000,2011-06-20 05:00:00
3989,171.65,174.08,171.28,173.81,2558026,1308632400000,2011-06-21 05:00:00
3990,173.05,174.684,172.97,173.07,2670856,1308718800000,2011-06-22 05:00:00
3991,170.93,173.22,169.44,172.98,2657491,1308805200000,2011-06-23 05:00:00
3992,173.29,173.78,171.34,171.71,1963538,1308891600000,2011-06-24 05:00:00
3993,171.81,173.03,170.72,172.43,2161722,1309150800000,2011-06-27 05:00:00
3994,172.95,175.18,172.77,175.11,1648908,1309237200000,2011-06-28 05:00:00
3995,175.83,177.02,174.79,176.51,1844611,1309323600000,2011-06-29 05:00:00
3996,176.84,178.34,176.73,177.45,3220860,1309410000000,2011-06-30 05:00:00
3997,177.86,180.76,177.53,180.55,1983719,1309496400000,2011-07-01 05:00:00
3998,181.0,181.1,179.64,180.69,2859809,1309842000000,2011-07-05 05:00:00
3999,180.72,182.0,179.91,181.75,5808301,1309928400000,2011-07-06 05:00:00
4000,183.37,183.97,182.95,183.71,2453689,1310014800000,2011-07-07 05:00:00
4001,181.52,182.42,180.83,182.29,2386773,1310101200000,2011-07-08 05:00:00
4002,180.45,181.0,178.12,178.56,1868066,1310360400000,2011-07-11 05:00:00
4003,177.89,179.28,177.61,177.8,3013532,1310446800000,2011-07-12 05:00:00
4004,178.74,180.54,178.17,178.4,3378866,1310533200000,2011-07-13 05:00:00
4005,178.93,179.86,175.71,176.03,6200043,1310619600000,2011-07-14 05:00:00
4006,176.67,177.25,175.69,177.14,2178864,1310706000000,2011-07-15 05:00:00
4007,176.64,176.73,173.701,174.78,1374947,1310965200000,2011-07-18 05:00:00
4008,176.11,178.35,176.05,178.23,1574012,1311051600000,2011-07-19 05:00:00
4009,178.37,178.44,177.04,177.94,1229852,1311138000000,2011-07-20 05:00:00
4010,178.59,180.35,178.15,179.6,2254678,1311224400000,2011-07-21 05:00:00
4011,179.36,180.32,178.74,179.98,1025054,1311310800000,2011-07-22 05:00:00
4012,178.0,179.85,177.59,178.67,1929697,1311570000000,2011-07-25 05:00:00
4013,178.24,178.64,177.1,177.36,1240205,1311656400000,2011-07-26 05:00:00
4014,176.51,176.55,172.3,172.5,3612007,1311742800000,2011-07-27 05:00:00
4015,172.56,174.5,171.601,171.73,2236331,1311829200000,2011-07-28 05:00:00
4016,169.34,172.33,168.47,171.31,4164265,1311915600000,2011-07-29 05:00:00
4017,173.08,173.61,168.53,170.31,4920785,1312174800000,2011-08-01 05:00:00
4018,169.22,170.6,165.0,165.21,3442389,1312261200000,2011-08-02 05:00:00
4019,165.23,165.91,161.12,165.89,6570294,1312347600000,2011-08-03 05:00:00
4020,163.29,163.44,155.9,156.03,7489181,1312434000000,2011-08-04 05:00:00
4021,157.79,158.1092,149.96,153.35,9672325,1312520400000,2011-08-05 05:00:00
4022,148.06,150.24,140.78,140.98,15292642,1312779600000,2011-08-08 05:00:00
4023,144.32,150.0,139.8,149.79,12592400,1312866000000,2011-08-09 05:00:00
4024,146.64,150.12,144.6,144.74,6359699,1312952400000,2011-08-10 05:00:00
4025,145.54,154.39,145.24,152.49,5910365,1313038800000,2011-08-11 05:00:00
4026,153.66,154.65,151.69,153.29,6457591,1313125200000,2011-08-12 05:00:00
4027,154.71,157.42,154.6,157.38,3837573,1313384400000,2011-08-15 05:00:00
4028,155.12,156.82,153.6,155.2,4260202,1313470800000,2011-08-16 05:00:00
4029,156.4,157.15,153.13,154.51,2796652,1313557200000,2011-08-17 05:00:00
4030,149.63,149.87,144.68,145.93,3678500,1313643600000,2011-08-18 05:00:00
4031,143.84,148.11,143.11,143.35,4411532,1313730000000,2011-08-19 05:00:00
4032,147.13,147.23,142.58,143.51,3311618,1313989200000,2011-08-22 05:00:00
4033,143.96,149.32,142.75,149.12,4051401,1314075600000,2011-08-23 05:00:00
4034,148.61,151.68,147.925,151.26,3559797,1314162000000,2011-08-24 05:00:00
4035,152.69,153.25,147.49,148.1,4668582,1314248400000,2011-08-25 05:00:00
4036,147.18,152.44,145.11,151.9,3602952,1314334800000,2011-08-26 05:00:00
4037,153.93,158.0,153.83,157.84,3918330,1314594000000,2011-08-29 05:00:00
4038,156.86,159.6,156.02,158.53,3533511,1314680400000,2011-08-30 05:00:00
4039,159.58,161.77,157.78,159.04,3653651,1314766800000,2011-08-31 05:00:00
4040,159.45,160.86,156.2,156.61,2500927,1314853200000,2011-09-01 05:00:00
4041,152.85,154.39,150.93,151.53,4101182,1314939600000,2011-09-02 05:00:00
4042,146.1,150.92,146.1,150.6,3838482,1315285200000,2011-09-06 05:00:00
4043,153.21,156.29,152.76,156.07,2198787,1315371600000,2011-09-07 05:00:00
4044,154.81,156.86,153.46,154.04,3025785,1315458000000,2011-09-08 05:00:00
4045,152.56,153.6,148.64,149.85,4196338,1315544400000,2011-09-09 05:00:00
4046,147.56,150.67,147.02,150.64,3781298,1315803600000,2011-09-12 05:00:00
4047,151.67,153.45,150.23,152.71,2699159,1315890000000,2011-09-13 05:00:00
4048,153.79,157.44,151.11,155.66,3407540,1315976400000,2011-09-14 05:00:00
4049,157.32,157.865,155.04,157.58,4440905,1316062800000,2011-09-15 05:00:00
4050,157.85,158.69,155.97,157.12,3498600,1316149200000,2011-09-16 05:00:00
4051,154.07,156.32,152.73,155.18,2171918,1316408400000,2011-09-19 05:00:00
4052,155.75,157.31,153.19,153.29,2627444,1316494800000,2011-09-20 05:00:00
4053,153.1,153.82,147.85,147.87,6485128,1316581200000,2011-09-21 05:00:00
4054,143.14,145.33,140.52,142.54,9858109,1316667600000,2011-09-22 05:00:00
4055,141.94,144.65,141.66,144.35,3321271,1316754000000,2011-09-23 05:00:00
4056,145.6,147.36,142.25,147.08,2899808,1317013200000,2011-09-26 05:00:00
4057,150.09,153.0,148.8,149.73,3383386,1317099600000,2011-09-27 05:00:00
4058,150.26,150.59,144.56,145.01,4302217,1317186000000,2011-09-28 05:00:00
4059,147.72,148.15,142.69,146.11,4225483,1317272400000,2011-09-29 05:00:00
4060,143.57,145.375,141.95,142.13,4991525,1317358800000,2011-09-30 05:00:00
4061,140.97,143.0,135.32,135.39,12227565,1317618000000,2011-10-03 05:00:00
4062,134.29,141.2,132.94,141.02,6817745,1317704400000,2011-10-04 05:00:00
4063,141.28,144.6752,139.32,144.01,4188408,1317790800000,2011-10-05 05:00:00
4064,143.57,147.67,142.91,147.46,2999648,1317877200000,2011-10-06 05:00:00
4065,148.35,148.66,144.56,145.24,3519561,1317963600000,2011-10-07 05:00:00
4066,148.23,150.54,147.72,150.54,1844997,1318222800000,2011-10-10 05:00:00
4067,149.1,151.59,148.87,150.75,3458588,1318309200000,2011-10-11 05:00:00
4068,151.72,154.36,151.55,152.48,6732639,1318395600000,2011-10-12 05:00:00
4069,151.44,153.4,149.96,152.77,2849522,1318482000000,2011-10-13 05:00:00
4070,154.59,155.91,153.36,155.48,3435596,1318568400000,2011-10-14 05:00:00
4071,154.58,154.86,150.73,151.03,3103004,1318827600000,2011-10-17 05:00:00
4072,151.5,155.95,149.41,155.08,5603826,1318914000000,2011-10-18 05:00:00
4073,154.43,155.61,152.02,152.5661,6782303,1319000400000,2011-10-19 05:00:00
4074,153.11,153.48,149.69,153.26,4994980,1319086800000,2011-10-20 05:00:00
4075,155.09,156.83,154.51,156.49,4179060,1319173200000,2011-10-21 05:00:00
4076,157.0,161.37,156.94,160.97,3517729,1319432400000,2011-10-24 05:00:00
4077,160.19,160.19,156.91,157.15,2786641,1319518800000,2011-10-25 05:00:00
4078,159.43,159.97,155.36,159.14,3125676,1319605200000,2011-10-26 05:00:00
4079,164.37,167.39,162.63,166.06,10085706,1319691600000,2011-10-27 05:00:00
4080,165.43,166.38,164.55,165.41,4203226,1319778000000,2011-10-28 05:00:00
4081,163.59,164.25,161.31,161.4,5723905,1320037200000,2011-10-31 05:00:00
4082,155.79,158.93,153.68,156.32,15545951,1320123600000,2011-11-01 05:00:00
4083,158.53,160.31,157.21,159.43,7560077,1320210000000,2011-11-02 05:00:00
4084,161.4,163.73,158.39,163.14,3700160,1320296400000,2011-11-03 05:00:00
4085,161.63,163.88,160.26,163.56,4181878,1320382800000,2011-11-04 05:00:00
4086,163.68,164.28,160.24,163.26,4085017,1320645600000,2011-11-07 06:00:00
4087,164.3,165.21,161.205,165.08,4267362,1320732000000,2011-11-08 06:00:00
4088,160.79,161.18,157.5,157.79,3835111,1320818400000,2011-11-09 06:00:00
4089,159.95,160.09,157.13,158.58,3354119,1320904800000,2011-11-10 06:00:00
4090,160.56,163.09,160.15,162.2,4963650,1320991200000,2011-11-11 06:00:00
4091,161.45,162.04,159.71,160.54,3133746,1321250400000,2011-11-14 06:00:00
4092,160.12,163.0,159.14,162.18,5246509,1321336800000,2011-11-15 06:00:00
4093,160.56,163.22,159.7,159.99,3030729,1321423200000,2011-11-16 06:00:00
4094,159.6,160.149,156.22,156.98,2311301,1321509600000,2011-11-17 06:00:00
4095,157.61,157.72,155.81,156.62,2505098,1321596000000,2011-11-18 06:00:00
4096,154.21,154.46,151.89,153.49,3276436,1321855200000,2011-11-21 06:00:00
4097,153.27,154.06,151.65,152.74,2819089,1321941600000,2011-11-22 06:00:00
4098,151.08,151.21,148.27,148.51,3824541,1322028000000,2011-11-23 06:00:00
4099,147.77,149.74,147.68,147.81,1413520,1322200800000,2011-11-25 06:00:00
4100,152.59,154.04,151.77,153.16,2278009,1322460000000,2011-11-28 06:00:00
4101,153.59,154.41,152.56,153.28,3254024,1322546400000,2011-11-29 06:00:00
4102,158.66,161.06,158.24,161.01,3928962,1322632800000,2011-11-30 06:00:00
4103,160.35,162.02,159.81,159.91,2819842,1322719200000,2011-12-01 06:00:00
4104,161.67,162.8,160.17,160.31,2911369,1322805600000,2011-12-02 06:00:00
4105,163.26,164.2,161.57,162.64,3203348,1323064800000,2011-12-05 06:00:00
4106,162.57,163.08,161.2,162.26,3215486,1323151200000,2011-12-06 06:00:00
4107,161.06,162.46,158.9401,161.76,4378450,1323237600000,2011-12-07 06:00:00
4108,160.56,161.03,157.17,157.53,4995029,1323324000000,2011-12-08 06:00:00
4109,158.08,161.71,157.9,161.28,4399081,1323410400000,2011-12-09 06:00:00
4110,159.35,159.39,157.0,158.57,4553723,1323669600000,2011-12-12 06:00:00
4111,160.0,160.41,154.46,155.53,5526682,1323756000000,2011-12-13 06:00:00
4112,154.38,154.93,152.69,153.22,3434179,1323842400000,2011-12-14 06:00:00
4113,155.02,155.1,153.18,154.26,3117630,1323928800000,2011-12-15 06:00:00
4114,154.83,157.24,154.53,155.22,6063544,1324015200000,2011-12-16 06:00:00
4115,156.31,156.83,152.34,152.66,3872037,1324274400000,2011-12-19 06:00:00
4116,155.64,158.29,155.61,157.91,3509250,1324360800000,2011-12-20 06:00:00
4117,157.28,158.68,155.72,158.2,2124087,1324447200000,2011-12-21 06:00:00
4118,158.74,160.37,158.58,159.804,2483611,1324533600000,2011-12-22 06:00:00
4119,160.35,160.8,159.61,160.76,958859,1324620000000,2011-12-23 06:00:00
4120,160.22,161.88,159.95,161.02,2037220,1324965600000,2011-12-27 06:00:00
4121,161.09,161.2,158.2,158.4,2735116,1325052000000,2011-12-28 06:00:00
4122,158.89,160.68,158.57,160.45,1129287,1325138400000,2011-12-29 06:00:00
4123,160.25,160.97,159.32,159.49,2648775,1325224800000,2011-12-30 06:00:00
4124,163.09,163.77,160.77,161.28,3394832,1325570400000,2012-01-03 06:00:00
4125,160.52,161.5,159.71,160.84,1966070,1325656800000,2012-01-04 06:00:00
4126,160.05,162.41,158.45,162.08,2887214,1325743200000,2012-01-05 06:00:00
4127,161.86,163.01,160.71,161.93,2139466,1325829600000,2012-01-06 06:00:00
4128,162.7,163.19,161.34,162.83,1944384,1326088800000,2012-01-09 06:00:00
4129,164.71,165.35,164.43,165.06,3691176,1326175200000,2012-01-10 06:00:00
4130,164.46,165.64,164.27,165.4,2241817,1326261600000,2012-01-11 06:00:00
4131,165.85,165.94,163.95,165.72,1810187,1326348000000,2012-01-12 06:00:00
4132,164.46,165.02,163.28,164.95,1556299,1326434400000,2012-01-13 06:00:00
4133,166.3,166.83,164.88,165.14,1466588,1326780000000,2012-01-17 06:00:00
4134,165.34,168.0,164.81,167.9,2866771,1326866400000,2012-01-18 06:00:00
4135,168.61,169.65,168.09,169.25,1847914,1326952800000,2012-01-19 06:00:00
4136,169.24,169.35,168.54,169.13,3096876,1327039200000,2012-01-20 06:00:00
4137,169.2,170.51,167.9,169.14,2157637,1327298400000,2012-01-23 06:00:00
4138,168.2,169.85,167.55,169.78,3080503,1327384800000,2012-01-24 06:00:00
4139,169.66,171.85,168.71,171.53,3358577,1327471200000,2012-01-25 06:00:00
4140,172.61,172.72,169.63,170.4,2594995,1327557600000,2012-01-26 06:00:00
4141,169.64,171.67,169.61,171.44,1918677,1327644000000,2012-01-27 06:00:00
4142,169.93,171.0,168.67,170.42,1803214,1327903200000,2012-01-30 06:00:00
4143,171.65,171.79,169.4,170.0,1785990,1327989600000,2012-01-31 06:00:00
4144,171.51,173.71,171.33,173.51,2786617,1328076000000,2012-02-01 06:00:00
4145,173.84,174.67,173.34,173.9,2345262,1328162400000,2012-02-02 06:00:00
4146,176.09,176.9,175.56,176.63,4465227,1328248800000,2012-02-03 06:00:00
4147,175.81,176.63,175.59,176.47,1417170,1328508000000,2012-02-06 06:00:00
4148,176.09,177.08,175.24,176.66,2798338,1328594400000,2012-02-07 06:00:00
4149,177.0,177.77,175.74,177.04,1702270,1328680800000,2012-02-08 06:00:00
4150,177.64,177.7,175.62,177.27,2023030,1328767200000,2012-02-09 06:00:00
4151,175.5,176.08,174.65,175.33,2119443,1328853600000,2012-02-10 06:00:00
4152,177.24,177.67,175.72,177.21,1663472,1329112800000,2012-02-13 06:00:00
4153,176.45,177.17,175.87,177.13,2519309,1329199200000,2012-02-14 06:00:00
4154,178.08,178.33,175.93,176.58,3267440,1329285600000,2012-02-15 06:00:00
4155,176.79,179.46,176.71,179.34,3652701,1329372000000,2012-02-16 06:00:00
4156,180.14,180.28,178.81,179.21,1664046,1329458400000,2012-02-17 06:00:00
4157,179.53,179.82,177.63,178.42,2011886,1329804000000,2012-02-21 06:00:00
4158,178.21,178.97,177.12,177.73,2915606,1329890400000,2012-02-22 06:00:00
4159,177.79,179.32,176.738,179.16,3233562,1329976800000,2012-02-23 06:00:00
4160,179.41,180.14,178.94,179.21,2827604,1330063200000,2012-02-24 06:00:00
4161,177.93,180.05,176.76,179.24,2033764,1330322400000,2012-02-27 06:00:00
4162,179.42,180.02,178.0,179.02,1750307,1330408800000,2012-02-28 06:00:00
4163,179.21,180.03,177.43,177.67,2592519,1330495200000,2012-02-29 06:00:00
4164,178.43,180.04,178.36,179.35,4011648,1330581600000,2012-03-01 06:00:00
4165,179.06,179.63,177.13,177.85,2070011,1330668000000,2012-03-02 06:00:00
4166,177.54,177.64,176.27,177.21,2515986,1330927200000,2012-03-05 06:00:00
4167,175.34,175.5,173.31,173.8,2964842,1331013600000,2012-03-06 06:00:00
