,open,high,low,close,volume,datetime,date
0,59.85,59.85,59.57,59.57,5500,1361426400000,2013-02-21 06:00:00
1,59.98,60.05,59.8699,60.05,670,1361512800000,2013-02-22 06:00:00
2,60.15,60.18,59.52,59.52,895,1361772000000,2013-02-25 06:00:00
3,59.23,59.23,59.23,59.23,200,1361858400000,2013-02-26 06:00:00
4,59.5,59.5,59.5,59.5,175,1361944800000,2013-02-27 06:00:00
5,59.95,60.01,59.95,60.01,263,1362031200000,2013-02-28 06:00:00
6,59.6,59.6,59.6,59.6,100,1362117600000,2013-03-01 06:00:00
7,60.59,60.59,60.59,60.59,200,1362463200000,2013-03-05 06:00:00
8,60.8,60.81,60.8,60.81,400,1362549600000,2013-03-06 06:00:00
9,61.34,61.34,60.75,60.75,200,1362636000000,2013-03-07 06:00:00
10,61.26,61.26,61.26,61.26,100,1362978000000,2013-03-11 05:00:00
11,61.46,61.46,61.46,61.46,100,1363150800000,2013-03-13 05:00:00
12,61.7,61.7,61.7,61.7,140,1363237200000,2013-03-14 05:00:00
13,61.78,61.78,61.77,61.77,1200,1363755600000,2013-03-20 05:00:00
14,61.63,61.68,61.59,61.68,400,1363842000000,2013-03-21 05:00:00
15,61.57,61.69,61.56,61.63,886,1363928400000,2013-03-22 05:00:00
16,62.107,62.107,61.64,61.68,550,1364187600000,2013-03-25 05:00:00
17,62.04,62.04,62.02,62.02,3800,1364274000000,2013-03-26 05:00:00
18,61.91,62.1073,61.91,62.086,1300,1364360400000,2013-03-27 05:00:00
19,62.33,62.42,62.33,62.39,3000,1364446800000,2013-03-28 05:00:00
20,62.0,62.0,61.69,61.69,14600,1364792400000,2013-04-01 05:00:00
21,62.25,62.29,61.84,61.84,7037,1364878800000,2013-04-02 05:00:00
22,61.5,61.5,61.0,61.0,400,1364965200000,2013-04-03 05:00:00
23,61.0,61.25,61.0,61.25,2200,1365051600000,2013-04-04 05:00:00
24,60.67,61.1799,60.6,61.1799,3200,1365138000000,2013-04-05 05:00:00
25,61.17,61.88,61.17,61.88,3547,1365397200000,2013-04-08 05:00:00
26,61.67,61.7,61.67,61.7,1600,1365483600000,2013-04-09 05:00:00
27,62.58,62.76,62.5,62.54,3347,1365656400000,2013-04-11 05:00:00
28,62.32,62.34,62.07,62.34,2747,1365742800000,2013-04-12 05:00:00
29,61.6,61.67,60.37,60.38,6208,1366002000000,2013-04-15 05:00:00
30,61.03,61.11,61.03,61.11,2200,1366088400000,2013-04-16 05:00:00
31,60.57,60.57,60.01,60.32,2636,1366174800000,2013-04-17 05:00:00
32,60.47,60.5,59.91,60.09,5812,1366261200000,2013-04-18 05:00:00
33,60.37,60.85,60.18,60.84,18402,1366347600000,2013-04-19 05:00:00
34,60.76,61.11,60.3,61.01,6906,1366606800000,2013-04-22 05:00:00
35,61.62,61.84,61.48,61.84,3100,1366693200000,2013-04-23 05:00:00
36,61.88,62.24,61.66,62.19,2926,1366779600000,2013-04-24 05:00:00
37,62.23,62.523,62.23,62.2832,4764,1366866000000,2013-04-25 05:00:00
38,62.05,62.1466,62.05,62.08,1418,1366952400000,2013-04-26 05:00:00
39,62.7001,62.72,62.7,62.72,400,1367298000000,2013-04-30 05:00:00
40,62.97,62.97,61.9799,61.98,4438,1367384400000,2013-05-01 05:00:00
41,61.71,62.23,61.71,62.1199,3029,1367470800000,2013-05-02 05:00:00
42,62.71,63.29,62.71,63.04,8748,1367557200000,2013-05-03 05:00:00
43,63.1388,63.15,62.965,63.0,14884,1367816400000,2013-05-06 05:00:00
44,63.16,63.7099,63.1,63.7099,19563,1367902800000,2013-05-07 05:00:00
45,63.87,63.9044,63.6586,63.6586,5039,1367989200000,2013-05-08 05:00:00
46,63.71,63.71,63.43,63.43,2200,1368075600000,2013-05-09 05:00:00
47,63.58,63.68,63.54,63.68,13291,1368162000000,2013-05-10 05:00:00
48,63.66,63.692,63.6,63.6034,3071,1368421200000,2013-05-13 05:00:00
49,63.55,64.1037,63.55,63.9821,2300,1368507600000,2013-05-14 05:00:00
50,64.01,64.57,64.01,64.57,2300,1368594000000,2013-05-15 05:00:00
51,64.64,64.64,64.3,64.3,1083,1368680400000,2013-05-16 05:00:00
52,64.83,64.86,64.53,64.86,1900,1368766800000,2013-05-17 05:00:00
53,64.75,64.93,64.75,64.89,9370,1369026000000,2013-05-20 05:00:00
54,64.91,65.02,64.91,65.02,893,1369112400000,2013-05-21 05:00:00
55,65.22,65.51,63.931,63.96,5272,1369198800000,2013-05-22 05:00:00
56,63.22,63.73,63.22,63.5868,2800,1369285200000,2013-05-23 05:00:00
57,63.49,63.68,63.13,63.68,83745,1369371600000,2013-05-24 05:00:00
58,64.78,64.82,63.8632,63.96,11001,1369717200000,2013-05-28 05:00:00
59,63.3,63.3,62.7,63.17,10407,1369803600000,2013-05-29 05:00:00
60,63.64,63.7334,63.37,63.458,17636,1369890000000,2013-05-30 05:00:00
61,63.24,63.38,62.95,63.0968,9597,1369976400000,2013-05-31 05:00:00
62,63.42,63.44,62.76,63.23,4289,1370235600000,2013-06-03 05:00:00
63,63.09,63.09,62.45,62.797,11500,1370322000000,2013-06-04 05:00:00
64,62.55,62.55,62.1,62.1,3740,1370408400000,2013-06-05 05:00:00
65,61.8,62.1699,61.8,61.91,714,1370494800000,2013-06-06 05:00:00
66,63.05,63.05,62.63,63.01,9900,1370581200000,2013-06-07 05:00:00
67,62.929,63.13,62.929,63.13,9167,1370840400000,2013-06-10 05:00:00
68,62.29,62.65,62.24,62.65,4053,1370926800000,2013-06-11 05:00:00
69,62.48,62.48,61.7336,61.7352,5905,1371013200000,2013-06-12 05:00:00
70,61.9857,62.95,61.9857,62.95,1723,1371099600000,2013-06-13 05:00:00
71,63.08,63.19,62.88,62.88,2600,1371186000000,2013-06-14 05:00:00
72,63.43,63.43,62.92,63.0,8512,1371445200000,2013-06-17 05:00:00
73,63.27,63.99,63.17,63.81,13875,1371531600000,2013-06-18 05:00:00
74,63.65,63.65,62.81,62.81,3789,1371618000000,2013-06-19 05:00:00
75,61.543,61.62,61.0,61.18,2860,1371704400000,2013-06-20 05:00:00
76,60.8799,61.15,60.5,61.15,5690,1371790800000,2013-06-21 05:00:00
77,60.39,60.74,60.0,60.57,6691,1372050000000,2013-06-24 05:00:00
78,60.77,60.9,60.68,60.79,1304,1372136400000,2013-06-25 05:00:00
79,61.7358,61.7358,61.22,61.4,1000,1372222800000,2013-06-26 05:00:00
80,62.14,62.2852,62.13,62.2852,861,1372309200000,2013-06-27 05:00:00
81,62.14,62.56,62.14,62.38,4059,1372395600000,2013-06-28 05:00:00
82,62.73,62.86,62.5935,62.5935,659,1372654800000,2013-07-01 05:00:00
83,63.05,63.06,62.49,62.49,758,1372741200000,2013-07-02 05:00:00
