,open,high,low,close,volume,datetime,date
3017,68.9,69.19,68.6,68.76,10196646,1294034400000,2011-01-03 06:00:00
3018,69.19,69.19,67.52,68.17,14543460,1294120800000,2011-01-04 06:00:00
3019,67.83,68.56,67.57,68.44,11291496,1294207200000,2011-01-05 06:00:00
3020,68.67,68.7,67.5,67.79,11454022,1294293600000,2011-01-06 06:00:00
3021,67.82,68.44,67.6,68.28,11082236,1294380000000,2011-01-07 06:00:00
3022,68.07,68.14,67.49,68.01,10806437,1294639200000,2011-01-10 06:00:00
3023,68.45,69.22,68.36,69.14,11371992,1294725600000,2011-01-11 06:00:00
3024,69.75,70.13,69.43,70.09,11026774,1294812000000,2011-01-12 06:00:00
3025,70.2,70.35,69.638,69.895,11522652,1294898400000,2011-01-13 06:00:00
3026,69.8,70.67,69.48,70.65,14005321,1294984800000,2011-01-14 06:00:00
3027,70.6,71.13,70.38,71.09,12535159,1295330400000,2011-01-18 06:00:00
3028,71.21,71.2398,70.11,70.23,15126893,1295416800000,2011-01-19 06:00:00
3029,69.69,69.94,68.73,69.73,23179915,1295503200000,2011-01-20 06:00:00
3030,70.44,70.62,69.71,70.1,14573960,1295589600000,2011-01-21 06:00:00
3031,69.99,70.52,69.72,70.36,13104203,1295848800000,2011-01-24 06:00:00
3032,70.2,70.31,69.36,70.1575,15819095,1295935200000,2011-01-25 06:00:00
3033,70.4,72.03,70.35,71.84,24221522,1296021600000,2011-01-26 06:00:00
3034,71.8,71.9501,71.05,71.42,14994182,1296108000000,2011-01-27 06:00:00
3035,71.3,71.65,70.85,71.11,23691759,1296194400000,2011-01-28 06:00:00
3036,71.72,73.15,71.49,73.15,25114835,1296453600000,2011-01-31 06:00:00
3037,73.44,74.41,71.2158,74.34,20443136,1296540000000,2011-02-01 06:00:00
3038,74.0,74.83,73.83,74.28,13560944,1296626400000,2011-02-02 06:00:00
3039,74.3,74.44,73.38,74.32,14515496,1296712800000,2011-02-03 06:00:00
3040,74.49,74.5701,73.73,74.13,13280430,1296799200000,2011-02-04 06:00:00
3041,74.44,75.22,74.43,74.56,16175192,1297058400000,2011-02-07 06:00:00
3042,74.44,74.56,73.65,74.3075,15596877,1297144800000,2011-02-08 06:00:00
3043,73.98,74.25,72.85,73.37,16324472,1297231200000,2011-02-09 06:00:00
3044,73.01,74.24,72.93,74.12,16809782,1297317600000,2011-02-10 06:00:00
3045,73.82,74.51,73.621,74.11,18870485,1297404000000,2011-02-11 06:00:00
3046,73.98,75.83,73.98,75.74,15223171,1297663200000,2011-02-14 06:00:00
3047,75.62,75.76,74.63,74.95,11443602,1297749600000,2011-02-15 06:00:00
3048,75.35,76.03,75.095,75.95,15907917,1297836000000,2011-02-16 06:00:00
3049,75.94,76.87,75.81,76.7,10796733,1297922400000,2011-02-17 06:00:00
3050,76.87,77.2,76.34,77.02,12408375,1298008800000,2011-02-18 06:00:00
3051,77.37,78.06,75.91,76.27,24833673,1298354400000,2011-02-22 06:00:00
3052,76.69,78.371,76.55,77.82,32189890,1298440800000,2011-02-23 06:00:00
3053,78.02,78.06,76.25,76.72,22389487,1298527200000,2011-02-24 06:00:00
3054,77.0,78.0,76.81,77.94,11768637,1298613600000,2011-02-25 06:00:00
3055,78.24,78.69,77.7,78.47,15878491,1298872800000,2011-02-28 06:00:00
3056,79.0,79.08,76.975,77.07,20205588,1298959200000,2011-03-01 06:00:00
3057,76.86,77.66,76.29,77.51,15045764,1299045600000,2011-03-02 06:00:00
3058,78.0,78.91,77.76,78.84,11329303,1299132000000,2011-03-03 06:00:00
3059,78.82,78.91,77.72,78.34,14133327,1299218400000,2011-03-04 06:00:00
3060,78.86,79.22,77.36,77.79,14671675,1299477600000,2011-03-07 06:00:00
3061,77.75,77.81,76.38,77.15,16187909,1299564000000,2011-03-08 06:00:00
3062,76.91,77.41,76.37,76.619,13602996,1299650400000,2011-03-09 06:00:00
3063,75.6,75.61,73.61,73.83,36185407,1299736800000,2011-03-10 06:00:00
3064,73.32,75.65,73.03,75.11,24211885,1299823200000,2011-03-11 06:00:00
3065,74.75,75.78,74.36,75.52,16441504,1300078800000,2011-03-14 05:00:00
3066,73.18,75.61,72.9,74.95,21834708,1300165200000,2011-03-15 05:00:00
3067,75.17,75.81,72.98,73.75,31662781,1300251600000,2011-03-16 05:00:00
3068,75.2,76.39,74.71,76.0,20945124,1300338000000,2011-03-17 05:00:00
3069,76.68,76.86,75.29,75.39,24192104,1300424400000,2011-03-18 05:00:00
3070,76.7,77.7,76.55,77.68,17164709,1300683600000,2011-03-21 05:00:00
3071,77.7,77.96,77.26,77.51,10019690,1300770000000,2011-03-22 05:00:00
3072,77.49,77.97,76.9901,77.71,10097274,1300856400000,2011-03-23 05:00:00
3073,78.02,78.13,77.15,77.99,15369101,1300942800000,2011-03-24 05:00:00
3074,78.07,78.9,77.79,78.69,11647969,1301029200000,2011-03-25 05:00:00
3075,78.5,79.4,78.335,78.5,14147985,1301288400000,2011-03-28 05:00:00
3076,78.4,79.62,78.13,79.46,16960215,1301374800000,2011-03-29 05:00:00
3077,79.98,80.37,79.33,80.01,19044954,1301461200000,2011-03-30 05:00:00
3078,80.43,80.97,79.72,79.75,18883697,1301547600000,2011-03-31 05:00:00
3079,80.45,80.69,79.7801,79.99,12925184,1301634000000,2011-04-01 05:00:00
3080,80.36,80.5499,79.93,80.04,7476294,1301893200000,2011-04-04 05:00:00
3081,79.97,80.73,79.89,80.28,19323840,1301979600000,2011-04-05 05:00:00
3082,80.7,80.9,79.08,79.44,16475874,1302066000000,2011-04-06 05:00:00
3083,79.29,79.77,78.73,79.44,14824625,1302152400000,2011-04-07 05:00:00
3084,80.02,80.38,79.27,79.72,19144981,1302238800000,2011-04-08 05:00:00
3085,79.75,79.9,77.87,78.1475,17694686,1302498000000,2011-04-11 05:00:00
3086,77.26,77.3,75.3,75.73,38093735,1302584400000,2011-04-12 05:00:00
3087,76.42,76.67,75.45,76.04,26848943,1302670800000,2011-04-13 05:00:00
3088,75.62,76.78,75.34,76.56,20674108,1302757200000,2011-04-14 05:00:00
3089,76.76,77.3,76.17,77.19,15270414,1302843600000,2011-04-15 05:00:00
3090,76.04,76.39,75.189,76.04,20053932,1303102800000,2011-04-18 05:00:00
3091,75.99,77.0,75.95,76.81,15062668,1303189200000,2011-04-19 05:00:00
3092,78.29,78.66,77.92,78.62,22444879,1303275600000,2011-04-20 05:00:00
3093,78.78,79.19,78.41,78.98,12647112,1303362000000,2011-04-21 05:00:00
3094,79.02,79.09,78.08,78.57,7077139,1303707600000,2011-04-25 05:00:00
3095,78.81,79.47,78.47,79.35,9202339,1303794000000,2011-04-26 05:00:00
3096,79.6699,79.7,77.98,79.31,18717363,1303880400000,2011-04-27 05:00:00
3097,79.04,79.54,78.55,79.3,14998220,1303966800000,2011-04-28 05:00:00
3098,79.32,80.51,79.28,80.479,9928587,1304053200000,2011-04-29 05:00:00
3099,80.65,80.8,78.92,79.41,17762778,1304312400000,2011-05-02 05:00:00
3100,78.8,78.97,76.74,77.42,28751732,1304398800000,2011-05-03 05:00:00
3101,77.26,77.27,75.39,76.05,29750332,1304485200000,2011-05-04 05:00:00
3102,74.91,75.65,73.58,74.47,44489488,1304571600000,2011-05-05 05:00:00
3103,75.33,76.45,73.98,74.8,35227158,1304658000000,2011-05-06 05:00:00
3104,75.15,76.47,75.02,76.11,24228478,1304917200000,2011-05-09 05:00:00
3105,76.1,76.83,75.51,76.47,17766678,1305003600000,2011-05-10 05:00:00
3106,76.0,76.079,73.71,74.26,41169896,1305090000000,2011-05-11 05:00:00
3107,73.9,74.75,72.78,74.15,38954887,1305176400000,2011-05-12 05:00:00
3108,74.5,74.85,73.13,73.79,35934081,1305262800000,2011-05-13 05:00:00
3109,73.48,74.73,73.04,73.23,28148383,1305522000000,2011-05-16 05:00:00
3110,72.89,73.58,72.28,73.23,30273011,1305608400000,2011-05-17 05:00:00
3111,73.56,75.24,73.28,74.71,25846477,1305694800000,2011-05-18 05:00:00
3112,75.05,75.36,74.09,74.72,19666894,1305781200000,2011-05-19 05:00:00
3113,74.65,75.27,73.72,74.63,27054394,1305867600000,2011-05-20 05:00:00
3114,73.33,73.87,73.0,73.47,20292921,1306126800000,2011-05-23 05:00:00
3115,74.22,75.33,74.2,74.51,24830776,1306213200000,2011-05-24 05:00:00
3116,74.13,76.16,74.12,75.77,24918815,1306299600000,2011-05-25 05:00:00
3117,75.52,76.33,75.14,76.15,18751725,1306386000000,2011-05-26 05:00:00
3118,76.57,77.12,75.96,76.34,16697099,1306472400000,2011-05-27 05:00:00
3119,77.34,77.66,76.25,77.11,19312129,1306818000000,2011-05-31 05:00:00
3120,76.92,77.25,75.07,75.27,27617369,1306904400000,2011-06-01 05:00:00
3121,75.3,75.89,74.43,75.24,24105221,1306990800000,2011-06-02 05:00:00
3122,74.11,75.98,73.97,75.26,22378446,1307077200000,2011-06-03 05:00:00
3123,75.1,75.41,73.4,73.56,23439297,1307336400000,2011-06-06 05:00:00
3124,74.2,74.58,73.44,73.56,19230531,1307422800000,2011-06-07 05:00:00
3125,73.79,74.68,73.62,73.78,25056530,1307509200000,2011-06-08 05:00:00
3126,74.15,75.18,74.0,74.78,17271917,1307595600000,2011-06-09 05:00:00
3127,74.2,74.35,73.205,73.33,20968492,1307682000000,2011-06-10 05:00:00
3128,73.3701,73.9,71.48,72.17,27751137,1307941200000,2011-06-13 05:00:00
3129,73.11,74.07,73.09,73.71,22877831,1308027600000,2011-06-14 05:00:00
3130,72.83,73.48,71.62,72.02,35640438,1308114000000,2011-06-15 05:00:00
3131,72.05,72.79,71.405,72.13,25264389,1308200400000,2011-06-16 05:00:00
3132,72.5,72.62,71.22,71.685,27409814,1308286800000,2011-06-17 05:00:00
3133,71.3,73.8,71.14,71.88,17362325,1308546000000,2011-06-20 05:00:00
3134,72.38,73.661,72.33,73.31,23195548,1308632400000,2011-06-21 05:00:00
3135,73.08,74.0825,72.86,73.1,18561874,1308718800000,2011-06-22 05:00:00
3136,71.55,72.41,70.45,72.3,45454176,1308805200000,2011-06-23 05:00:00
3137,72.3,72.47,70.83,70.93,17065640,1308891600000,2011-06-24 05:00:00
3138,70.68,71.75,70.51,71.31,19694649,1309150800000,2011-06-27 05:00:00
3139,71.93,73.42,71.87,73.39,15857728,1309237200000,2011-06-28 05:00:00
3140,73.63,74.76,73.28,74.25,21321414,1309323600000,2011-06-29 05:00:00
3141,74.5,75.421,74.49,75.35,19418779,1309410000000,2011-06-30 05:00:00
3142,75.19,76.14,74.55,76.06,14888490,1309496400000,2011-07-01 05:00:00
3143,76.16,76.87,75.97,76.53,15683434,1309842000000,2011-07-05 05:00:00
3144,76.36,76.495,75.71,76.39,10975489,1309928400000,2011-07-06 05:00:00
3145,77.42,77.65,76.8434,77.54,17824309,1310014800000,2011-07-07 05:00:00
3146,76.19,76.89,76.08,76.89,17131049,1310101200000,2011-07-08 05:00:00
3147,75.79,75.8,74.77,75.065,19147025,1310360400000,2011-07-11 05:00:00
3148,74.76,75.82,74.7,74.79,20545823,1310446800000,2011-07-12 05:00:00
3149,75.13,76.425,75.05,75.35,20165897,1310533200000,2011-07-13 05:00:00
3150,76.13,76.2901,74.75,74.85,22632844,1310619600000,2011-07-14 05:00:00
3151,75.7,76.95,75.65,76.86,27367093,1310706000000,2011-07-15 05:00:00
3152,76.53,76.74,75.99,76.6,20362283,1310965200000,2011-07-18 05:00:00
3153,77.15,78.06,77.09,77.995,19557973,1311051600000,2011-07-19 05:00:00
3154,78.33,78.36,77.65,77.8,10517759,1311138000000,2011-07-20 05:00:00
3155,78.26,79.43,78.21,79.33,17361326,1311224400000,2011-07-21 05:00:00
3156,79.4,79.83,78.93,79.73,11499741,1311310800000,2011-07-22 05:00:00
3157,78.74,79.97,78.62,79.41,15484408,1311570000000,2011-07-25 05:00:00
3158,79.36,79.76,78.75,79.03,16969365,1311656400000,2011-07-26 05:00:00
3159,78.49,78.65,77.3,77.535,23784435,1311742800000,2011-07-27 05:00:00
3160,77.23,78.18,77.07,77.22,19554066,1311829200000,2011-07-28 05:00:00
3161,76.19,77.12,75.96,76.45,17335583,1311915600000,2011-07-29 05:00:00
3162,77.8,77.85,75.625,76.34,21985699,1312174800000,2011-08-01 05:00:00
3163,75.91,76.7,74.19,74.215,27201105,1312261200000,2011-08-02 05:00:00
3164,74.32,74.36,72.05,73.785,35564099,1312347600000,2011-08-03 05:00:00
3165,72.41,72.49,68.27,68.54,54529719,1312434000000,2011-08-04 05:00:00
3166,69.57,70.16,64.4727,68.07,66409612,1312520400000,2011-08-05 05:00:00
3167,65.31,66.38,62.0,62.28,55997020,1312779600000,2011-08-08 05:00:00
3168,63.58,65.49,61.1,65.45,50401123,1312866000000,2011-08-09 05:00:00
3169,64.6,65.78,62.93,63.15,49373680,1312952400000,2011-08-10 05:00:00
3170,63.6,67.46,63.21,66.47,42033368,1313038800000,2011-08-11 05:00:00
3171,67.46,67.85,66.53,66.96,26552954,1313125200000,2011-08-12 05:00:00
3172,67.85,69.35,67.83,69.3,29311242,1313384400000,2011-08-15 05:00:00
3173,68.33,69.05,67.29,68.07,29945117,1313470800000,2011-08-16 05:00:00
3174,68.83,69.6,67.9,68.34,21666887,1313557200000,2011-08-17 05:00:00
3175,66.21,66.36,63.66,64.38,37248375,1313643600000,2011-08-18 05:00:00
3176,63.39,65.48,63.0,63.24,27319588,1313730000000,2011-08-19 05:00:00
3177,65.17,65.19,62.5,62.73,24532413,1313989200000,2011-08-22 05:00:00
3178,63.14,65.6087,62.71,65.56,35856813,1314075600000,2011-08-23 05:00:00
3179,65.18,66.07,64.6,65.95,18867923,1314162000000,2011-08-24 05:00:00
3180,66.42,66.81,64.22,64.559,26792609,1314248400000,2011-08-25 05:00:00
3181,63.92,66.1,63.11,65.81,23836256,1314334800000,2011-08-26 05:00:00
3182,66.85,67.82,66.329,67.73,35543184,1314594000000,2011-08-29 05:00:00
3183,67.27,68.6,66.71,68.13,19838768,1314680400000,2011-08-30 05:00:00
3184,68.75,69.64,67.99,68.64,24485254,1314766800000,2011-08-31 05:00:00
3185,68.75,69.65,67.96,68.12,21294185,1314853200000,2011-09-01 05:00:00
3186,66.31,66.9,65.65,66.22,20854704,1314939600000,2011-09-02 05:00:00
3187,64.11,65.6,63.57,65.5,19355689,1315285200000,2011-09-06 05:00:00
3188,66.71,67.94,66.61,67.9,18525688,1315371600000,2011-09-07 05:00:00
3189,67.57,68.56,66.73,67.11,18491825,1315458000000,2011-09-08 05:00:00
3190,66.23,66.55,64.42,64.89,35041367,1315544400000,2011-09-09 05:00:00
3191,63.76,65.34,63.34,65.195,25761476,1315803600000,2011-09-12 05:00:00
3192,65.49,65.83,64.19,65.38,28204528,1315890000000,2011-09-13 05:00:00
3193,65.77,67.12,64.48,66.19,25715819,1315976400000,2011-09-14 05:00:00
3194,67.01,67.57,66.45,67.505,17331180,1316062800000,2011-09-15 05:00:00
3195,67.51,67.76,66.32,67.09,23036372,1316149200000,2011-09-16 05:00:00
3196,65.45,66.63,64.75,66.03,20859826,1316408400000,2011-09-19 05:00:00
3197,66.34,67.17,65.52,65.62,20134397,1316494800000,2011-09-20 05:00:00
3198,65.44,65.68,62.83,62.89,26782831,1316581200000,2011-09-21 05:00:00
3199,60.67,60.7,58.26,59.34,38065965,1316667600000,2011-09-22 05:00:00
3200,58.58,59.58,58.37,58.7,32795330,1316754000000,2011-09-23 05:00:00
3201,59.13,60.97,57.95,60.84,34397549,1317013200000,2011-09-26 05:00:00
3202,62.64,63.33,61.375,61.73,32486614,1317099600000,2011-09-27 05:00:00
3203,61.84,62.41,59.59,59.71,23093544,1317186000000,2011-09-28 05:00:00
3204,61.25,61.33,59.06,60.28,22869478,1317272400000,2011-09-29 05:00:00
3205,59.23,59.96,58.51,58.51,29734394,1317358800000,2011-09-30 05:00:00
3206,57.84,58.51,56.47,56.52,35068722,1317618000000,2011-10-03 05:00:00
3207,55.5,58.54,54.26,58.37,41370333,1317704400000,2011-10-04 05:00:00
3208,58.8,60.7,57.93,60.52,37564911,1317790800000,2011-10-05 05:00:00
3209,60.4,61.78,59.72,61.66,23819311,1317877200000,2011-10-06 05:00:00
3210,62.13,62.18,60.29,60.9,24391848,1317963600000,2011-10-07 05:00:00
3211,62.03,63.69,62.0201,63.66,17907957,1318222800000,2011-10-10 05:00:00
3212,63.07,64.335,62.91,63.79,22428183,1318309200000,2011-10-11 05:00:00
3213,64.3,65.095,63.84,64.13,18631493,1318395600000,2011-10-12 05:00:00
3214,63.48,64.36,62.78,64.04,15159429,1318482000000,2011-10-13 05:00:00
3215,65.13,66.62,65.12,66.6,16616802,1318568400000,2011-10-14 05:00:00
3216,66.42,66.64,65.24,65.39,18806384,1318827600000,2011-10-17 05:00:00
3217,65.31,67.94,64.59,67.49,24455895,1318914000000,2011-10-18 05:00:00
3218,67.19,68.24,66.48,66.79,24029545,1319000400000,2011-10-19 05:00:00
3219,66.75,67.61,65.92,67.31,21877452,1319086800000,2011-10-20 05:00:00
