,open,high,low,close,volume,datetime,date
3027,31.47,31.57,31.33,31.4925,3536331,1294034400000,2011-01-03 06:00:00
3028,31.49,31.71,31.3,31.635,4981413,1294120800000,2011-01-04 06:00:00
3029,31.54,31.57,31.4,31.44,4598802,1294207200000,2011-01-05 06:00:00
3030,31.47,31.5,31.24,31.47,5707064,1294293600000,2011-01-06 06:00:00
3031,31.52,31.6,31.2936,31.5825,5091992,1294380000000,2011-01-07 06:00:00
3032,31.5,31.5,31.23,31.41,6357179,1294639200000,2011-01-10 06:00:00
3033,31.53,31.59,31.36,31.455,3186643,1294725600000,2011-01-11 06:00:00
3034,31.54,31.77,31.54,31.62,4189741,1294812000000,2011-01-12 06:00:00
3035,31.64,31.67,31.45,31.5925,6799789,1294898400000,2011-01-13 06:00:00
3036,31.55,31.7599,31.49,31.74,5501016,1294984800000,2011-01-14 06:00:00
3037,31.74,31.85,31.68,31.815,3594698,1295330400000,2011-01-18 06:00:00
3038,31.84,31.89,31.69,31.74,4824832,1295416800000,2011-01-19 06:00:00
3039,31.78,32.0675,31.75,31.98,8613000,1295503200000,2011-01-20 06:00:00
3040,32.18,32.18,31.88,31.95,7604984,1295589600000,2011-01-21 06:00:00
3041,32.02,32.21,31.95,32.13,3660972,1295848800000,2011-01-24 06:00:00
3042,32.07,32.2,31.94,32.0825,8516857,1295935200000,2011-01-25 06:00:00
3043,32.12,32.12,31.87,31.96,5554577,1296021600000,2011-01-26 06:00:00
3044,31.87,32.16,31.87,32.08,3504398,1296108000000,2011-01-27 06:00:00
3045,32.1,32.15,31.64,31.65,5662390,1296194400000,2011-01-28 06:00:00
3046,31.8,31.84,31.65,31.72,4012818,1296453600000,2011-01-31 06:00:00
3047,31.89,32.05,31.76,32.04,5294621,1296540000000,2011-02-01 06:00:00
3048,31.9496,32.01,31.84,31.865,3144956,1296626400000,2011-02-02 06:00:00
3049,31.84,32.04,31.71,31.995,7417787,1296712800000,2011-02-03 06:00:00
3050,31.96,32.02,31.6,31.8,4927311,1296799200000,2011-02-04 06:00:00
3051,31.79,32.03,31.77,32.005,3722163,1297058400000,2011-02-07 06:00:00
3052,32.04,32.05,31.9101,32.0025,3741156,1297144800000,2011-02-08 06:00:00
3053,31.96,32.04,31.83,32.0,4290136,1297231200000,2011-02-09 06:00:00
3054,31.97,32.09,31.95,32.06,4245842,1297317600000,2011-02-10 06:00:00
3055,32.0,32.18,31.94,32.0,9252831,1297404000000,2011-02-11 06:00:00
3056,31.98,32.02,31.65,31.77,4134387,1297663200000,2011-02-14 06:00:00
3057,31.77,31.915,31.65,31.87,3225554,1297749600000,2011-02-15 06:00:00
3058,31.92,31.96,31.63,31.8,5413246,1297836000000,2011-02-16 06:00:00
3059,31.87,31.96,31.78,31.86,8173639,1297922400000,2011-02-17 06:00:00
3060,31.88,31.96,31.8,31.91,2978267,1298008800000,2011-02-18 06:00:00
3061,31.69,31.88,31.63,31.77,6011887,1298354400000,2011-02-22 06:00:00
3062,31.73,31.89,31.665,31.7,5419092,1298440800000,2011-02-23 06:00:00
3063,31.63,31.77,31.49,31.5775,7090445,1298527200000,2011-02-24 06:00:00
3064,31.64,31.778,31.56,31.755,3947919,1298613600000,2011-02-25 06:00:00
3065,31.86,32.2265,31.8,32.11,12307453,1298872800000,2011-02-28 06:00:00
3066,32.0,32.24,31.78,31.785,12154614,1298959200000,2011-03-01 06:00:00
3067,31.8,31.93,31.72,31.84,5759795,1299045600000,2011-03-02 06:00:00
3068,31.99,32.26,31.99,32.2,5779585,1299132000000,2011-03-03 06:00:00
3069,32.17,32.23,31.77,32.005,7340511,1299218400000,2011-03-04 06:00:00
3070,32.14,32.38,32.05,32.13,10805388,1299477600000,2011-03-07 06:00:00
3071,32.24,32.56,32.13,32.49,6721853,1299564000000,2011-03-08 06:00:00
3072,32.5,32.89,32.45,32.82,13105763,1299650400000,2011-03-09 06:00:00
3073,32.7,32.71,32.43,32.4475,10856917,1299736800000,2011-03-10 06:00:00
3074,32.4,32.64,32.34,32.52,5031848,1299823200000,2011-03-11 06:00:00
3075,32.16,32.2,31.87,32.09,18974027,1300078800000,2011-03-14 05:00:00
3076,31.5,31.65,31.365,31.48,14255968,1300165200000,2011-03-15 05:00:00
3077,31.43,31.51,30.74,30.985,15344250,1300251600000,2011-03-16 05:00:00
3078,31.28,31.3,30.79,31.03,12025198,1300338000000,2011-03-17 05:00:00
3079,31.07,31.15,30.75,30.88,9099730,1300424400000,2011-03-18 05:00:00
3080,31.21,31.343,31.09,31.24,5087302,1300683600000,2011-03-21 05:00:00
3081,31.29,31.4399,31.16,31.285,7269688,1300770000000,2011-03-22 05:00:00
3082,31.26,31.34,31.08,31.27,5621875,1300856400000,2011-03-23 05:00:00
3083,31.48,31.48,31.19,31.4,6197091,1300942800000,2011-03-24 05:00:00
3084,31.4,31.53,31.36,31.39,3405636,1301029200000,2011-03-25 05:00:00
3085,31.41,31.58,31.28,31.28,4589792,1301288400000,2011-03-28 05:00:00
3086,31.3,31.62,31.205,31.585,5438068,1301374800000,2011-03-29 05:00:00
3087,31.75,32.07,31.67,31.95,5598015,1301461200000,2011-03-30 05:00:00
3088,31.94,31.97,31.8,31.87,5503697,1301547600000,2011-03-31 05:00:00
3089,32.09,32.15,31.95,32.12,6176758,1301634000000,2011-04-01 05:00:00
3090,32.2,32.2,31.99,32.1,3974110,1301893200000,2011-04-04 05:00:00
3091,32.09,32.12,31.95,31.97,4024588,1301979600000,2011-04-05 05:00:00
3092,32.12,32.26,32.02,32.2,3769890,1302066000000,2011-04-06 05:00:00
3093,32.15,32.2,31.95,32.07,5339998,1302152400000,2011-04-07 05:00:00
3094,32.22,32.24,31.8411,31.98,5961836,1302238800000,2011-04-08 05:00:00
3095,31.92,31.98,31.49,31.56,9345776,1302498000000,2011-04-11 05:00:00
3096,31.48,31.63,31.35,31.48,8531292,1302584400000,2011-04-12 05:00:00
3097,31.6,31.82,31.56,31.56,5305324,1302670800000,2011-04-13 05:00:00
3098,31.42,31.82,31.4,31.75,5781143,1302757200000,2011-04-14 05:00:00
3099,31.84,32.198,31.8,32.1,7161607,1302843600000,2011-04-15 05:00:00
3100,31.91,32.01,31.63,31.82,7150228,1303102800000,2011-04-18 05:00:00
3101,31.88,31.89,31.73,31.83,5657474,1303189200000,2011-04-19 05:00:00
3102,32.09,32.27,32.04,32.24,5869577,1303275600000,2011-04-20 05:00:00
3103,32.23,32.2671,32.12,32.24,4065724,1303362000000,2011-04-21 05:00:00
3104,32.27,32.34,32.1699,32.28,2505223,1303707600000,2011-04-25 05:00:00
3105,32.3,32.5795,32.3,32.54,5278804,1303794000000,2011-04-26 05:00:00
3106,32.64,32.86,32.56,32.8,6107985,1303880400000,2011-04-27 05:00:00
3107,32.78,33.12,32.76,33.09,6760598,1303966800000,2011-04-28 05:00:00
3108,33.06,33.18,32.96,33.16,8737093,1304053200000,2011-04-29 05:00:00
3109,33.22,33.32,33.12,33.17,5549859,1304312400000,2011-05-02 05:00:00
3110,33.18,33.61,33.06,33.38,16424626,1304398800000,2011-05-03 05:00:00
3111,33.38,33.43,33.13,33.34,8646412,1304485200000,2011-05-04 05:00:00
3112,33.2999,33.32,32.96,33.1,5734295,1304571600000,2011-05-05 05:00:00
3113,33.43,33.54,33.16,33.29,5740709,1304658000000,2011-05-06 05:00:00
3114,33.25,33.39,33.11,33.36,3922391,1304917200000,2011-05-09 05:00:00
3115,33.51,33.92,33.45,33.84,8579220,1305003600000,2011-05-10 05:00:00
3116,33.84,33.84,33.55,33.73,4102130,1305090000000,2011-05-11 05:00:00
3117,33.73,34.1,33.67,34.07,5885018,1305176400000,2011-05-12 05:00:00
3118,34.15,34.17,33.73,33.91,6912554,1305262800000,2011-05-13 05:00:00
3119,33.99,34.25,33.88,33.95,8112808,1305522000000,2011-05-16 05:00:00
3120,33.86,34.21,33.86,34.2,8710843,1305608400000,2011-05-17 05:00:00
3121,34.18,34.23,33.9,34.09,5450399,1305694800000,2011-05-18 05:00:00
3122,34.1,34.24,34.01,34.17,3202656,1305781200000,2011-05-19 05:00:00
3123,34.14,34.3,33.98,34.13,4473993,1305867600000,2011-05-20 05:00:00
3124,33.82,34.09,33.72,33.73,6021649,1306126800000,2011-05-23 05:00:00
3125,33.74,33.88,33.67,33.7,4458529,1306213200000,2011-05-24 05:00:00
3126,33.62,33.79,33.35,33.63,6271109,1306299600000,2011-05-25 05:00:00
3127,33.55,33.67,33.36,33.62,3801780,1306386000000,2011-05-26 05:00:00
3128,33.68,33.81,33.56,33.62,4500855,1306472400000,2011-05-27 05:00:00
3129,33.91,33.93,33.67,33.87,6378688,1306818000000,2011-05-31 05:00:00
3130,33.84,33.86,33.51,33.52,7165734,1306904400000,2011-06-01 05:00:00
3131,33.49,33.5,33.19,33.42,6202211,1306990800000,2011-06-02 05:00:00
3132,33.11,33.38,32.98,33.19,6092823,1307077200000,2011-06-03 05:00:00
3133,33.13,33.185,32.94,33.039,5288610,1307336400000,2011-06-06 05:00:00
3134,33.17,33.39,33.07,33.08,10147010,1307422800000,2011-06-07 05:00:00
3135,33.13,33.25,33.011,33.16,8009657,1307509200000,2011-06-08 05:00:00
3136,33.22,33.33,33.03,33.19,5690043,1307595600000,2011-06-09 05:00:00
3137,33.09,33.18,32.97,32.97,8339869,1307682000000,2011-06-10 05:00:00
3138,33.08,33.24,32.94,33.12,5189654,1307941200000,2011-06-13 05:00:00
3139,33.4,33.4,33.04,33.25,7116932,1308027600000,2011-06-14 05:00:00
3140,33.09,33.29,32.75,32.84,7658193,1308114000000,2011-06-15 05:00:00
